year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2012,CS,ypp,Female,2012-6-15,0,1,42.8207,34.1808,3.4,4,33.8642,32.2952
2012,CS,ypg,Female,2012-6-15,2,1,40.2475,32.6553,3.6,3.9,31.837,30.4423
2012,CS,ypw,Female,2012-6-15,0,1,44.7762,34.518,4.12,4.41,34.0795,32.6302
2012,CS,dbcy,Female,2012-6-15,0,1,44.7721,35.2171,4.09,4.06,34.1704,32.8495
2012,CS,ypr,Female,2012-6-15,0,1,42.4372,34.3666,3.58,4.02,33.6249,32.2394
2012,CS,dbcc,Female,2012-6-15,0,1,43.0183,34.2867,4.08,4.49,34.4087,33.3992
2012,CS,dbcp,Female,2012-6-15,0,1,42.8386,34.3756,3.23,4.13,33.8761,32.6862
2012,CS,dbcg,Female,2012-6-15,0,0,43.638,35.0263,3.3,3.89,34.6902,33.1664
2012,CS,dbwr,Female,2012-6-15,4,1,43.9701,35.2935,4.21,3.97,33.686,32.3134
2012,CS,dbwlb,Female,2012-6-15,3,1,45.3885,36.78,4.55,4.21,34.8442,33.1262
2012,CS,dbdbc,Female,2012-6-15,0,0,41.8844,33.9969,3.93,3.87,32.8094,30.9515
2012,CS,dbdbw,Female,2012-6-15,3,0,42.5444,34.53,4.32,4.4,33.8636,31.9074
2012,CS,dbdby,Female,2012-6-15,0,0,43.6496,35.06,3.91,4.12,34.6957,33.3447
2012,CS,dbdbp,Female,2012-6-15,0,0,41.6177,33.4239,4.49,3.79,32.8045,31.6015
2012,CS,dbpc,Female,2012-6-17,2,0,41.6355,33.2324,3.65,3.66,31.4943,30.431
2012,CS,dbpp,Female,2012-6-17,1,0,41.8355,33.5741,3.69,3.8,31.8215,30.2913
2012,CS,rcg,Female,2012-6-18,0,1,43.1768,34.6788,3.68,4.12,33.1082,31.6368
2012,CS,rcr,Female,2012-6-18,0,1,40.6159,32.684,3.34,3.75,30.9098,30.054
2012,CS,rww,Female,2012-6-18,0,1,42.6019,34.3188,3.77,4.09,34.1094,32.8089
2012,CS,rwdb,Female,2012-6-18,0,1,45.3644,36.2089,3.59,3.89,34.6298,33.0122
2012,CS,rwg,Female,2012-6-18,3,0,43.6758,35.093,3.7,4.11,34.1225,32.9709
2012,CS,rdbw,Female,2012-6-18,0,1,42.1149,34.1617,3.98,3.76,32.7719,31.469
2012,CS,rdbg,Female,2012-6-18,0,1,42.395,34.6479,4.02,3.93,33.3103,31.6008
2012,CS,rpc,Female,2012-6-18,0,1,43.0341,35.7596,3.91,4.16,32.9118,31.2422
2012,CS,rpp,Female,2012-6-18,1,1,43.3823,34.9384,3.65,3.86,33.2001,31.4652
2012,CS,rpy,Female,2012-6-18,1,1,43.0102,35.3328,3.9,4.08,34.0893,32.421
2012,CS,rpf,Female,2012-6-18,0,1,41.1685,34.1039,3.58,3.86,32.5981,31.3449
2012,CS,rpg,Female,2012-6-18,0,1,42.0039,34.5685,4.09,4.2,34.4995,32.5589
2012,CS,fcdb,Female,2012-6-18,9,1,43.7928,35.4908,4.01,4.22,34.5485,32.8568
2012,CS,fdbdb,Female,2012-6-19,0,0,43.0269,34.7088,3.78,3.85,31.3363,30.0652
2012,CS,fdbp,Female,2012-6-19,0,0,41.6523,34.1335,3.26,3.62,31.1094,29.9779
2012,CS,fdbf,Female,2012-6-19,0,0,40.9934,33.5571,3.59,3.86,32.3085,31.0791
2012,CS,fpw,Female,2012-6-19,0,0,43.3564,35.1256,3.82,4.07,32.6692,31.5415
2012,CS,fplb,Female,2012-6-19,0,1,41.6066,34.2668,3.92,3.98,32.7562,31.6596
2012,CS,fpg,Female,2012-6-19,7,1,41.4538,33.5995,3.82,3.83,32.2816,31.057
2012,CS,wcdb,Female,2012-6-19,0,1,44.7062,36.12,4.19,4.01,33.602,32.1315
2012,CS,wcy,Female,2012-6-19,0,1,43.0192,34.9068,3.62,3.72,34.2511,32.6132
2012,CS,wcg,Female,2012-6-19,0,1,43.7423,34.8496,3.76,4.13,35.2136,33.1854
