year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl,fpl,fpw
2011,CS,7_19_csm15,Male,2011-7-19,1,0,45.26,36.21,3.68,3.81,29.51,28.72,16,10.29
2011,CS,6_28_csm17,Male,2011-6-28,1,0,46.1,37.24,3.95,4.01,29.41,27.78,16.08,9.22
2011,CS,7_18_csm1,Male,2011-7-18,1,0,45.13,35.71,3.18,3.66,29.39,28.26,15.12,9.4
2011,CS,7_18_csm16,Male,2011-7-18,2,0,46.37,36.76,3.6,3.83,30.09,28.88,16.09,10.31
2011,CS,7_18_csm4,Male,2011-7-18,9,0,49.06,37.98,3.56,3.74,29.87,28.52,15.1,9.71
2011,CS,6_28_csm6,Male,2011-6-28,3,0,48.26,38.03,4.05,3.99,31.64,30.49,16.19,9.57
2011,CS,7_16_csm33,Male,2011-7-16,3,1,46.67,37.02,3.54,3.83,29.56,28.55,29.27,9.68
2011,CS,7_16_csm24,Male,2011-7-16,2,0,44.94,35.79,3.64,3.76,29.5,28.36,15.9,9.52
2011,CS,7_16_csm39,Male,2011-7-16,4,0,47.3,38.65,3.53,3.82,29.27,29.02,16.37,9.52
2011,CS,lbcc,Male,2011-6-1,13,1,48,36,4.2,4.26,30.4,29.8,15,10
2011,CS,lbcf,Male,2011-6-1,1,0,45.88,36.2,3.97,4.18,31.35,30.07,18.11,9.34
2011,CS,lbclb,Male,2011-6-1,1,0,46.59,36.07,4.54,3.97,29.68,28.71,14.09,9.25
2011,CS,lbcp,Male,2011-6-1,1,0,44.95,35.01,3.77,4.17,31.02,30.13,14.13,9.58
2011,CS,lbcr,Male,2011-6-1,1,0,45.37,34.81,4.27,4.08,31.4,29.93,17.36,9.93
2011,CS,lbdbp,Male,2011-6-2,5,0,46.32,36.41,3.8,4.09,29.98,29.16,15.59,9.92
2011,CS,6_30_csm32,Male,2011-6-30,5,1,45.89,36.71,3.89,3.76,29.72,28.96,19.1,9.75
2011,CS,7_19_csm6,Male,2011-7-19,1,1,45.98,36.35,3.68,3.67,28.93,27.97,16.73,9.45
2011,CS,7_19_csm10,Male,2011-7-19,1,1,45.22,35.48,3.74,3.86,29.47,28.12,15.01,9.94
2011,CS,6_30_csm15,Male,2011-6-30,10,0,46.67,37.46,3.89,3.9,28.7,27.33,15.69,9.3
2011,CS,6_30_csm5,Male,2011-6-30,1,0,48.9,38.6,4,4.29,30.88,29.95,15.88,9.95
2011,CS,lbwg,Male,2011-6-2,3,0,48.4,35.9,3.8,4.3,31.3,29.4,15.4,9.8
2011,CS,lbwr,Male,2011-6-1,4,0,45.88,36.48,3.95,4.04,30.64,29.04,15.16,9
2011,CS,lbww,Male,2011-6-1,2,0,46.29,35.87,4.09,3.92,29.97,28.96,16.28,9.17
2011,CS,6_29_csm5,Male,2011-6-29,6,0,46.89,37.49,3.91,3.94,29.23,28.6,17.03,9.43
2011,CS,6_7_csm16,Male,2011-6-7,9,1,47.9,37.9,3.95,4.15,30.76,29.1,15.23,9.42
2011,CS,6_10_csm2,Male,2011-6-10,11,0,46.67,36.14,3.43,3.81,29.66,28.74,18.11,9.11
2011,CS,6_8_csm11,Male,2011-6-8,15,0,46.63,36.48,3.72,4.06,30.16,29.45,18,10
2011,CS,6_8_csm9,Male,2011-6-8,4,1,44.49,36.98,3.92,3.93,29.66,28.19,15.82,9.48
2011,CS,7_4_csm22,Male,2011-7-4,1,0,44.86,35.34,3.49,3.65,29.15,28.37,15.85,9.45
2011,CS,7_4_csm15,Male,2011-7-4,2,0,45.57,36.11,3.8,3.8,29.54,28.68,15.2,9.68
2011,CS,7_4_csm21,Male,2011-7-4,3,0,43.67,35.15,3.58,3.62,29.64,28.35,15.7,9.75
2011,CS,6_10_csm13,Male,2011-6-10,3,0,43.75,34.96,4.09,3.77,30.46,28.14,17.94,9.35
2011,CS,6_10_csm12,Male,2011-6-10,26,1,48.1,37.43,4.52,4.39,31.88,30.75,19.29,10.19
2011,CS,6_10_csm10,Male,2011-6-10,6,1,47.8,35.81,3.68,4.2,30.81,29.34,18.12,9.84
2011,CS,6_10_csm6,Male,2011-6-10,17,0,44.81,34.93,4.21,4.17,30.35,29.27,17.02,8.68
2011,CS,7_4_csm11,Male,2011-7-4,5,0,46.59,37.42,3.5,3.74,27.96,28.88,15.1,9.72
2011,CS,7_4_csm5,Male,2011-7-4,2,0,44.95,35.86,4.01,3.59,30.23,29.12,18.37,9.29
2011,CS,7_1_csm33,Male,2011-7-1,6,0,45.46,35.81,3.57,3.84,28.96,28.4,15.02,9.14
2011,CS,6_16_csm10,Male,2011-6-16,26,0,48.19,38.07,4.04,4.34,31.16,29.97,17.29,10.07
2011,CS,6_16_csm26,Male,2011-6-16,0,1,45,35.6,3.25,3.51,28.45,27.39,16.98,9.46
2011,CS,6_16_csm20,Male,2011-6-16,2,1,45.88,35.98,3.95,3.94,29.18,28.07,16.08,9.66
2011,CS,7_9_csm20,Male,2011-7-9,0,0,47.62,37.38,3.66,3.86,31.07,29.87,14.93,10.46
2011,CS,7_9_csm41,Male,2011-7-9,11,1,44.68,35.36,3.41,3.83,28.96,27.78,17.25,9.7
2011,CS,6_17_csm3,Male,2011-6-17,11,0,46.55,36.84,3.95,4,30.74,28.91,18.15,9.88
2011,CS,7_9_csm7,Male,2011-7-9,1,0,45.16,35.73,3.4,3.94,29.05,27.7,15.61,9.45
2011,CS,7_9_csm16,Male,2011-7-9,18,0,47.72,37.79,3.87,4.03,30.48,29.76,18.27,10.13
